Region,Sector,Subsector,Energético,Energia estimada
XIII,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,252.489373
XIII,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,5.7937009999999995
XIII,Transporte,Terrestre,Gas Licuado,11.795909
XIII,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Natural,23.732298999999998
XIII,Industrial y Minero,"Todos, IM",Gas Natural,485.97971499999994
XIII,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Natural,342.806303
XIII,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Natural,0.0
XIII,Transporte,"Todos, T",Gas Natural,3.4472180000000003
XIII,Energético: Consumo Propio,"Todos, CP",Gas Natural,0.0
XIV,Transporte,Terrestre,Diesel,149.38382000000001
XIV,Transporte,Terrestre,Gasolina Aviacion,0.0
XIV,Transporte,Terrestre,Gasolina Motor,117.43355
XIV,Transporte,Terrestre,Kerosene,3.53423
XIV,Transporte,Terrestre,Kerosene Aviacion,0.0
XIV,Transporte,Terrestre,Petróleo Combustible,0.0
XIV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,62.98879
XIV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.005
XIV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,2.3337800000000004
XIV,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.0
XIV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,0.021
XIV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,44.42703
XIV,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,3.53423
XIV,"Sector Cmrcl., Púb. Y Residencial",Comercial,Gas Licuado,8.567564
XIV,Industrial y Minero,"Todos, IM",Gas Licuado,10.183363
XIV,"Sector Cmrcl., Púb. Y Residencial",Residencial,Gas Licuado,15.034487
XIV,"Sector Cmrcl., Púb. Y Residencial",Público,Gas Licuado,1.198436
XIV,Transporte,Terrestre,Gas Licuado,0.248649
XV,Transporte,Terrestre,Diesel,64.35011999999999
XV,Transporte,Terrestre,Gasolina Aviacion,0.0
XV,Transporte,Terrestre,Gasolina Motor,45.30751
XV,Transporte,Terrestre,Kerosene,0.016
XV,Transporte,Terrestre,Kerosene Aviacion,0.0
XV,Transporte,Terrestre,Petróleo Combustible,0.0
XV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Diesel,49.52168
XV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Aviacion,0.00111
XV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Gasolina Motor,2.72295
XV,Industrial y Minero y Cmrcl pub Residencial,Industrial y minero y comercial,Kerosene,0.0
XV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Kerosene Aviacion,0.32436000000000004
XV,Industrial y Minero y Cmrcl pub Residencial,Industrial y Minero,Petróleo Combustible,17.303330000000003
XV,"Sector Cmrcl., Púb. Y Residencial",Residencial,Kerosene,0.016
