Sector,Subsector,Energético,Unidad,SEC Tcal,BNE Tcal,Dif %,Emisiones SEC CO2eq (Millt),Emisiones SEC CO2 ajustadas con PCI (Millt),Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt),Categoría INGEI
Producción de Metanol,Producción de Metanol,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Coque de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Electricidad,Gwh,,50.51296,,,,,,Metanol
Producción de Metanol,Producción de Metanol,Coque Mineral,Mil ton,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Gas Coque,Mil m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Metanol
Producción de Metanol,Producción de Metanol,Metanol,Mil ton,,0.0,,,,0.0,0.0,Metanol
Cobre,Cobre,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Gas Natural,Millones m3,,1527.476239,,,,0.32299480206094994,0.32267959988494826,Industrias manufactureras y de la construcción
Cobre,Cobre,Carbón,Mil ton,,18.62892192,,,,0.007463268505928911,0.007004774194984473,Industrias manufactureras y de la construcción
Cobre,Cobre,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Biogás,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Geotermia,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Diésel,Mil m3,,18444.15051,,,,5.451011617271353,5.432405080033667,Industrias manufactureras y de la construcción
Cobre,Cobre,Petróleo Combustible,Mil ton,,585.4872555,,,,0.1807155151465067,0.18012487312069234,Industrias manufactureras y de la construcción
Cobre,Cobre,Gasolina de Motor,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Kerosene,Mil m3,,121.7012769,,,,0.03490355189100056,0.034780779126850424,Industrias manufactureras y de la construcción
Cobre,Cobre,Gas Licuado,Mil ton,,60.76719668,,,,0.014451394319707765,0.014438854712128926,Industrias manufactureras y de la construcción
Cobre,Cobre,Gasolina Aviación,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Kerosene de Aviación,Mil m3,,0.063988947,,,,1.8340311434982316e-05,1.8185543557295402e-05,Industrias manufactureras y de la construcción
Cobre,Cobre,Nafta,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Gas de Refinería,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Coque de Petróleo,Mil ton,,12.330787,,,,0.004791149536549137,0.004778710186341,Industrias manufactureras y de la construcción
Cobre,Cobre,D.i. de Petróleo,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Electricidad,Gwh,,22732.21623,,,,,,Industrias manufactureras y de la construcción
Cobre,Cobre,Coque Mineral,Mil ton,,0.189,,,,8.09059927284e-05,8.03823804e-05,Industrias manufactureras y de la construcción
Cobre,Cobre,Gas Coque,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Alquitrán,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Gas Altos Hornos,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Gas Corriente,Millones m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Cobre,Cobre,Metanol,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Petróleo Crudo,Mil m3,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Gas Natural,Millones m3,,709.2273563,,,,0.14997074502075403,0.14982439249475202,Industrias manufactureras y de la construcción
Salitre,Salitre,Carbón,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Biomasa,Mil ton,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Energía Hídrica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Energía Eólica,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
Salitre,Salitre,Energía Solar,Gwh,,0.0,,,,0.0,0.0,Industrias manufactureras y de la construcción
