nombre_region,cod_region,Sector,Subsector,Energético,BNE Tcal,Emisiones BNE CO2eq (Millt),Emisiones BNE CO2 BNE ajustadas con PCI (Millt)
Región Metropolitana de Santiago,13,Industrial y Minero,Minas Varias,Gas Natural,203.16930943399998,0.04296147410348995,0.042919549125022015
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Papel y Celulosa,Gas Natural,36.948596389,0.007813021422125694,0.007805396898951673
Región del Biobío,8,Industrial y Minero,Papel y Celulosa,Gas Natural,118.66974538,0.025093490779751784,0.025069002698684263
Región Metropolitana de Santiago,13,Industrial y Minero,Papel y Celulosa,Gas Natural,1159.77488076692,0.24524195433234047,0.2450026291259928
Región del Biobío,8,Industrial y Minero,Pesca,Gas Natural,35.06075,0.0074138240040789605,0.00740658904722
Región de Valparaíso,5,Industrial y Minero,Petroquímica,Gas Natural,21.623181988,0.00457236270379847,0.0045679006546741185
Región de Antofagasta,2,Industrial y Minero,Salitre,Gas Natural,707.0762267103,0.14951587465466082,0.14936996602474717
Región Metropolitana de Santiago,13,Industrial y Minero,Salitre,Gas Natural,2.151129549,0.0004548703574869263,0.00045442646140697796
Región del Biobío,8,Industrial y Minero,Siderurgia,Gas Natural,38.36,0.008111471910796801,0.0081035561376
Región Metropolitana de Santiago,13,Industrial y Minero,Siderurgia,Gas Natural,166.31988644199998,0.03516942354226268,0.035135102622054326
Región del Libertador Gral. Bernardo O’Higgins,6,Industrial y Minero,Agroindustria,Petróleo Combustible,0.517125,,
Región del Maule,7,Industrial y Minero,Agroindustria,Petróleo Combustible,4.2525,,
Región del Biobío,8,Industrial y Minero,Agroindustria,Petróleo Combustible,29.84331,,
Región de Los Ríos,14,Industrial y Minero,Agroindustria,Petróleo Combustible,33.590256,,
Región de Ñuble,16,Industrial y Minero,Agroindustria,Petróleo Combustible,44.832501,,
Región de Ñuble,16,Industrial y Minero,Azúcar,Petróleo Combustible,6.0383715,,
Región de Antofagasta,2,Industrial y Minero,Cemento,Petróleo Combustible,0.85806,,
Región del Biobío,8,Industrial y Minero,Cemento,Petróleo Combustible,0.22449,,
Región Metropolitana de Santiago,13,Industrial y Minero,Cemento,Petróleo Combustible,3.8418744,,
Región de Tarapacá,1,Industrial y Minero,Cobre,Petróleo Combustible,86.6258925,,
Región de Antofagasta,2,Industrial y Minero,Cobre,Petróleo Combustible,200.856474,,
Región de Atacama,3,Industrial y Minero,Cobre,Petróleo Combustible,297.60105899999996,,
Región de Valparaíso,5,Industrial y Minero,Cobre,Petróleo Combustible,0.40383,,
Región de Antofagasta,2,Industrial y Minero,Construcción,Petróleo Combustible,0.431676,,
Región de Valparaíso,5,Industrial y Minero,Construcción,Petróleo Combustible,3.395826,,
Región del Maule,7,Industrial y Minero,Construcción,Petróleo Combustible,6.667185,,
Región del Biobío,8,Industrial y Minero,Construcción,Petróleo Combustible,21.632184,,
Región Metropolitana de Santiago,13,Industrial y Minero,Construcción,Petróleo Combustible,6.897870000000001,,
Región de La Araucanía,9,Industrial y Minero,Industria Lactea,Petróleo Combustible,0.34335,,
Región de Los Ríos,14,Industrial y Minero,Industria Lactea,Petróleo Combustible,63.190932,,
Región de Tarapacá,1,Industrial y Minero,Minas Varias,Petróleo Combustible,19.796965115540885,,
Región de Antofagasta,2,Industrial y Minero,Minas Varias,Petróleo Combustible,132.13997329032497,,
Región de Atacama,3,Industrial y Minero,Minas Varias,Petróleo Combustible,110.37891347235285,,
Región de Valparaíso,5,Industrial y Minero,Minas Varias,Petróleo Combustible,0.7498122508099799,,
Región del Biobío,8,Industrial y Minero,Minas Varias,Petróleo Combustible,54.739153415070064,,
Región Metropolitana de Santiago,13,Industrial y Minero,Minas Varias,Petróleo Combustible,0.29977647679150893,,
Región de Arica y Parinacota,15,Industrial y Minero,Minas Varias,Petróleo Combustible,31.720874256399945,,
Región del Maule,7,Industrial y Minero,Papel y Celulosa,Petróleo Combustible,279.855555,,
Región del Biobío,8,Industrial y Minero,Papel y Celulosa,Petróleo Combustible,1064.8049999999998,,
Región de La Araucanía,9,Industrial y Minero,Papel y Celulosa,Petróleo Combustible,225.8865,,
Región de Los Ríos,14,Industrial y Minero,Papel y Celulosa,Petróleo Combustible,287.18655,,
Región de Ñuble,16,Industrial y Minero,Papel y Celulosa,Petróleo Combustible,391.4295,,
