Region,Año,variable,factor,pib,valor_salitre,demanda,demanda_regional
VIII,2036,manufactura,0.1318846159675275,15330.4828925553,,,
VIII,2037,manufactura,0.1318846159675275,15638.88297052663,,,
VIII,2038,manufactura,0.1318846159675275,15953.4870675598,,,
VIII,2039,manufactura,0.1318846159675275,16274.41998859253,,,
VIII,2040,manufactura,0.1318846159675275,16601.80904923701,,,
VIII,2041,manufactura,0.1318846159675275,16927.48322176206,,,
VIII,2042,manufactura,0.1318846159675275,17251.082333954,,,
VIII,2043,manufactura,0.1318846159675275,17572.24208068148,,,
VIII,2044,manufactura,0.1318846159675275,17890.59466936476,,,
VIII,2045,manufactura,0.1318846159675275,18214.71478448298,,,
VIII,2046,manufactura,0.1318846159675275,18535.59955769898,,,
VIII,2047,manufactura,0.1318846159675275,18852.86949023541,,,
VIII,2048,manufactura,0.1318846159675275,19175.57006502209,,,
VIII,2049,manufactura,0.1318846159675275,19494.20645217991,,,
VIII,2050,manufactura,0.1318846159675275,19818.13755270879,,,
VIII,2017,mineral,0.0002212049311030208,10075.57448251563,,,
VIII,2018,mineral,0.000336275356885237,10515.59234908449,,,
VIII,2019,mineral,0.0002211699461843486,10654.68263825134,,,
VIII,2020,mineral,0.001114207572172253,10047.04949988198,,,
VIII,2021,mineral,0.0113244801564373,11198.84068645881,,,
VIII,2022,mineral,0.0113244801564373,11440.92365411503,,,
VIII,2023,mineral,0.0113244801564373,11464.24113304354,,,
VIII,2024,mineral,0.0113244801564373,11687.29844510509,,,
VIII,2025,mineral,0.0113244801564373,11936.31723817632,,,
VIII,2026,mineral,0.0113244801564373,12193.56621966274,,,
VIII,2027,mineral,0.0113244801564373,12755.10825888302,,,
VIII,2028,mineral,0.0113244801564373,13006.66180294702,,,
VIII,2029,mineral,0.0113244801564373,13275.32777441802,,,
VIII,2030,mineral,0.0113244801564373,13549.69666909294,,,
VIII,2031,mineral,0.0113244801564373,13834.31902526941,,,
VIII,2032,mineral,0.0113244801564373,14125.96257930317,,,
VIII,2033,mineral,0.0113244801564373,14423.03326021513,,,
VIII,2034,mineral,0.0113244801564373,14724.19001982262,,,
VIII,2035,mineral,0.0113244801564373,15028.1644898719,,,
VIII,2036,mineral,0.0113244801564373,15330.4828925553,,,
VIII,2037,mineral,0.0113244801564373,15638.88297052663,,,
VIII,2038,mineral,0.0113244801564373,15953.4870675598,,,
VIII,2039,mineral,0.0113244801564373,16274.41998859253,,,
VIII,2040,mineral,0.0113244801564373,16601.80904923701,,,
VIII,2041,mineral,0.0113244801564373,16927.48322176206,,,
VIII,2042,mineral,0.0113244801564373,17251.082333954,,,
VIII,2043,mineral,0.0113244801564373,17572.24208068148,,,
VIII,2044,mineral,0.0113244801564373,17890.59466936476,,,
VIII,2045,mineral,0.0113244801564373,18214.71478448298,,,
VIII,2046,mineral,0.0113244801564373,18535.59955769898,,,
VIII,2047,mineral,0.0113244801564373,18852.86949023541,,,
VIII,2048,mineral,0.0113244801564373,19175.57006502209,,,
VIII,2049,mineral,0.0113244801564373,19494.20645217991,,,
VIII,2050,mineral,0.0113244801564373,19818.13755270879,,,
